Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel
2021-07-01,502500.22,740193.13,665475.44,1197397.83
2021-08-01,495474.87,668221.53,636801.3,1104609.15
2021-09-01,494768.58,670418.8,605278.4,1102684.29
2021-10-01,499790.9,718676.32,675818.23,1166975.44
2021-11-01,482357.07,708246.27,641916.39,1223817.11
2021-12-01,534537.58,821882.15,768107.97,1380064.62
2022-01-01,513015.93,683031.84,621512.78,1281083.25
2022-02-01,519921.04,661521.58,592106.14,1267195.1
2022-03-01,483657.43,701819.65,598038.47,1335367.84
2022-04-01,493178.4,812059.06,569199.43,1288232.7
2022-05-01,515616.02,791824.98,483991.63,1109576.77
2022-06-01,513914.27,781009.47,507260.42,1102689.46
2022-07-01,513619.25,788841.46,554496.9,1125984.15
2022-08-01,541273.94,784468.32,581844.42,1107348.96
2022-09-01,479529.68,760396.15,570632.2,1202883.03
2022-10-01,545823.45,768784.36,573943.48,979243.31
2022-11-01,528393.77,771173.12,572163.23,1165294.16
2022-12-01,556737.22,865851.44,635953.46,1241281.79
2023-01-01,574148.0,804524.73,599501.29,1285932.51
2023-02-01,497273.19,737345.64,544144.0,1226884.63
2023-03-01,588892.16,875010.34,656941.64,1463008.43
2023-04-01,513919.89,798128.36,586642.2,1247899.39
2023-05-01,561767.17,866826.79,646221.2,1346554.12
2023-06-01,532138.9,782745.17,616290.21,1159045.92
2023-07-01,521833.56,825219.05,642098.16,1178454.37
2023-08-01,543825.64,851754.02,632333.4,1222453.19
2023-09-01,517699.48,799852.73,597670.26,1103622.25
2023-10-01,495261.14,728741.16,531542.58,998113.39
2023-11-01,530542.42,807947.98,632180.03,1248223.75
2023-12-01,541263.18,880233.12,691389.62,1334692.15
2024-01-01,548124.45,830708.13,658083.66,1359012.49
2024-02-01,526897.85,818740.16,654059.6,1340174.42
2024-03-01,523990.91,870771.7,671997.05,1393324.52
2024-04-01,531880.19,847353.15,633520.57,1428143.44
2024-05-01,536754.38,894533.14,692427.94,1396161.97
2024-06-01,523778.26,794408.31,629424.37,1159234.34
2024-07-01,556774.66,837264.63,684082.47,1170111.79
2024-08-01,551959.94,869998.0,707708.07,1218077.03
2024-09-01,555683.08,827629.0,685834.74,1162290.44
2024-10-01,600453.87,942394.34,790948.04,1398782.97
2024-11-01,597059.97,826513.65,699028.58,1307671.59
2024-12-01,564762.33,913940.78,773715.97,1474651.06
2025-01-01,581794.25,702319.64,1262.97,1399798.38
2025-02-01,586541.02,651035.74,341.41,1343721.5
2025-03-01,589796.81,763939.48,8375.63,1456533.0
2025-04-01,581405.92,746081.22,209.25,1384488.46
2025-05-01,594599.75,761100.59,618.95,1416602.71
